Latitude,Longitude,Angle,Image_URL,Image_Name,Image_Download_Status,Image_Date
38.70001155,-9.182050437,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70001154541373,-9.182050436809002&heading=270",60,Downloaded,Aug-24
38.7011212,-9.1816712,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.701121199999996,-9.181671199999998&heading=0",61,Downloaded,Jul-24
38.7011212,-9.1816712,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.701121199999996,-9.181671199999998&heading=90",62,Downloaded,Jul-24
38.7011212,-9.1816712,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.701121199999996,-9.181671199999998&heading=180",63,Downloaded,Jul-24
38.7011212,-9.1816712,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.701121199999996,-9.181671199999998&heading=270",64,Downloaded,Jul-24
38.70083758,-9.181273499,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70083758302218,-9.181273499283993&heading=0",65,Downloaded,Aug-22
38.70083758,-9.181273499,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70083758302218,-9.181273499283993&heading=90",66,Downloaded,Aug-22
38.70083758,-9.181273499,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70083758302218,-9.181273499283993&heading=180",67,Downloaded,Aug-22
38.70083758,-9.181273499,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70083758302218,-9.181273499283993&heading=270",68,Downloaded,Aug-22
38.70055118,-9.18086334,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70055117963311,-9.18086333980888&heading=0",69,Downloaded,Aug-22
38.70055118,-9.18086334,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70055117963311,-9.18086333980888&heading=90",70,Downloaded,Aug-22
38.70055118,-9.18086334,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70055117963311,-9.18086333980888&heading=180",71,Downloaded,Aug-22
38.70055118,-9.18086334,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70055117963311,-9.18086333980888&heading=270",72,Downloaded,Aug-22
38.70018467,-9.180713312,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7001846678741,-9.180713311741004&heading=0",73,Downloaded,Aug-22
38.70018467,-9.180713312,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7001846678741,-9.180713311741004&heading=90",74,Downloaded,Aug-22
38.70018467,-9.180713312,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7001846678741,-9.180713311741004&heading=180",75,Downloaded,Aug-22
38.70018467,-9.180713312,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.7001846678741,-9.180713311741004&heading=270",76,Downloaded,Aug-22
38.69976407,-9.180721306,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69976407045077,-9.180721305545159&heading=0",77,Downloaded,Aug-22
38.69976407,-9.180721306,90,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69976407045077,-9.180721305545159&heading=90",78,Downloaded,Aug-22
38.69976407,-9.180721306,180,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69976407045077,-9.180721305545159&heading=180",79,Downloaded,Aug-22
38.69976407,-9.180721306,270,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69976407045077,-9.180721305545159&heading=270",80,Downloaded,Aug-22
38.7052013,-9.1838564,0,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70520129999999,-9.1838564&heading=0",81,Downloaded,Aug-24
